"","Test Taker","Form","Form2","Login","First Name","Last Name","Grade","Age","Gender","Race","Ethnicity","ESL","IEP","Reading Level","  1","  2","  8"," 17"," 39"," 41"," 42"," 45"," 54"," 55"," 60"," 64"," 69"," 85"," 87"," 90"," 91"," 92"," 97","113","115","118","150","153","154","155","156","160","316","317","319","320","322","324","326","328","329","333","335","337","341","355","356","368","372","377","379","380","386","388","391","393","395","396","398","400","403","405","407","409","410","411","412","413","414","415","420","422","424","425","426","443","448","449","462","465","466","471","472","481","482","483","484","486","490","499","501","502","503","505","509","511","512","513","515","517","518","520","532","533","536","542","544","548","551","totscore"
"181","DIMES Pilot GNV 108","A",NA,"bw108","LA","s108",5,11,0,6,0,0,0,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,0,1,NA,1,NA,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,38
"182","DIMES Pilot GNV 109","A",NA,"bw109","LA","s109",5,10,1,6,0,0,0,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,0,1,NA,1,NA,0,0,0,1,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,0,NA,NA,NA,NA,1,1,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,1,0,0,0,1,NA,NA,NA,0,1,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,0,1,NA,1,1,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,19
"183","DIMES Pilot GNV 113","A",NA,"bw113","LA","s113",5,11,0,6,0,0,0,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,0,1,NA,1,NA,0,0,0,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,1,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,34
"184","DIMES Pilot GNV 114","A",NA,"bw114","LA","s114",5,10,1,6,0,0,0,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,0,1,NA,1,NA,0,0,0,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,1,NA,1,0,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,35
"185","DIMES Pilot GNV 116","A",NA,"bw116","NS","s116",4,8,0,6,0,0,0,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,0,1,0,1,1,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,1,0,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,32
"186","DIMES Pilot GNV 117","A",NA,"bw117","NS","s117",4,9,0,6,0,0,0,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,0,1,NA,1,1,NA,NA,NA,NA,1,1,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,1,1,0,0,1,NA,NA,NA,1,1,1,NA,NA,0,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,30
"187","DIMES Pilot GNV 119","A",NA,"bw119","NS","s119",4,9,0,6,0,0,0,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,1,0,NA,1,NA,0,0,0,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,1,0,NA,NA,NA,NA,1,1,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,28
"188","DIMES Pilot GNV 120","A",NA,"bw120","NS","s120",4,10,0,6,0,0,0,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,0,0,NA,1,NA,1,1,0,1,0,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,1,NA,1,1,NA,NA,NA,NA,1,1,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,31
"189","DIMES Pilot GNV 121","A",NA,"bw121","NS","s121",4,9,0,6,0,0,0,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,0,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,0,0,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,36
"190","DIMES Pilot GNV 122","A",NA,"bw122","NS","s122",4,9,0,6,0,0,0,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,0,1,NA,1,NA,0,1,1,1,1,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,1,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,37
"191","DIMES Pilot GNV 123","A",NA,"bw123","NS","s123",4,9,1,6,0,0,0,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,0,1,NA,1,NA,1,0,0,1,1,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,1,0,NA,0,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,35
